Producto, Volumen mtro3
1 , 0.00105000 
2 , 0.02671000 
3 , 0.02000000 
4 , 0.05651500 
5 , 0.02523800 
6 , 0.02091200 
7 , 1.12000000 
8 , 0.00099580 
9 , 0.00380700 
10 , 0.37995600 
11 , 0.00449000 
12 , 0.02630000 
13 , 0.00060100 
14 , 0.34321700 
15 , 0.00553700 
16 , 0.00112500 
17 , 0.00001276 
18 , 0.00095680 
19 , 0.00105000 
20 , 0.04012500 
21 , 0.00214414 
22 , 0.01071000 
23 , 0.10157854 
24 , 0.30705000 
25 , 0.91370000 
26 , 0.03758500 
27 , 1.60000000 
28 , 0.00438000 
29 , 0.21735000 
30 , 0.00297500 
31 , 0.08993931 
32 , 0.00095680 
33 , 0.27000000 
34 , 0.01093900 
35 , 0.17600000 
36 , 0.00054000 
37 , 0.18150000 
38 , 0.00095680 
39 , 0.00095680 
40 , 0.01373500 
41 , 0.00060300 
42 , 0.00712041 
43 , 0.01267125 
44 , 0.00000674 
45 , 0.03844909 
46 , 0.09400000 
47 , 0.00095390 
48 , 0.00058347 
49 , 0.12770000 
50 , 0.00094812 
51 , 0.00099580 
52 , 0.43168000 
53 , 0.01653000 
54 , 0.00095680 
55 , 0.00622200 
56 , 0.08993931 
57 , 0.00042600 
58 , 0.00000508 
59 , 0.00296000 
60 , 0.00100000 
61 , 0.00095680 
62 , 0.00032200 
63 , 0.22938690 
64 , 0.00715900 
65 , 0.00095390 
66 , 0.00345244 
67 , 0.00215900 
68 , 0.25126000 
69 , 0.00007423 
70 , 0.09155700 
71 , 0.01112900 
72 , 0.00080000 
73 , 0.01801563 
74 , 0.00623500 
75 , 0.00623500 
76 , 1.99605000 
77 , 0.02070027 
78 , 0.00622200 
79 , 0.03714620 
80 , 0.09000000 
81 , 0.02878200 
82 , 0.23400000 
83 , 0.00057302 
84 , 0.04360000 
85 , 0.08006072 
86 , 0.00530400 
87 , 0.02956100 
88 , 0.05044900 
89 , 0.02091200 
90 , 0.00039187 
91 , 0.00622200 
92 , 0.00622200 
93 , 0.00095680 
94 , 0.02878200 
95 , 0.39166253 
96 , 0.00128700 
97 , 0.08296500 
98 , 0.05300600 
99 , 0.00095680 
100 , 0.00061100 
101 , 0.00056000 
102 , 0.02987000 
103 , 0.00343400 
104 , 0.00047880 
105 , 0.00094812 
106 , 0.07246864 
107 , 0.28865747 
108 , 0.00198000 
109 , 0.01146429 
110 , 0.83537743 
111 , 0.04000000 
112 , 0.00099580 
113 , 0.00061100 
114 , 0.00112500 
115 , 0.00345244 
116 , 0.00060300 
117 , 0.00099580 
118 , 0.10157854 
119 , 0.00112500 
120 , 0.05145000 
121 , 0.07592400 
122 , 0.02127219 
123 , 0.23400000 
124 , 0.00100000 
125 , 0.00345244 
126 , 0.06016000 
127 , 0.00100000 
128 , 0.00010000 
129 , 0.00345244 
130 , 0.06615100 
131 , 0.00189900 
132 , 0.08797584 
133 , 0.00080000 
134 , 0.00001276 
135 , 0.42606366 
136 , 0.06615100 
137 , 0.02127219 
138 , 0.02091200 
139 , 0.01951400 
140 , 0.22938690 
141 , 0.00095680 
142 , 0.71700000 
143 , 0.00095680 
144 , 0.01807600 
145 , 0.00006135 
146 , 0.00035347 
147 , 0.00339203 
148 , 0.00382140 
